Gene_ID,Gene_Symbol,BP_Feature1,BP_Feature2,BP_Feature3,MF_Feature1,MF_Feature2,MF_Feature3,CC_Feature1,CC_Feature2,CC_Feature3
ENSG00000104447,TRPS1,regulation of transcription by rna polymerase ii,negative regulation of transcription by rna polymerase ii,regulation of dna-templated transcription,dna-binding transcription repressor activity,rna polymerase ii-specific,sequence-specific dna binding,nucleus,chromatin,nucleoplasm
ENSG00000127980,PEX1,protein import into peroxisome matrix,protein targeting to peroxisome,receptor recycling,atp hydrolysis activity,ubiquitin-modified protein reader activity,protein binding,peroxisomal membrane,cytoplasm,cytosol
ENSG00000138722,MMRN1,regulation of blood coagulation,positive regulation of platelet aggregation,cell adhesion,calcium ion binding,protein binding,integrin binding,platelet alpha granule,collagen-containing extracellular matrix,extracellular region
ENSG00000182180,MRPS16,mitochondrial translation,translation elongation,ribosome biogenesis,structural constituent of ribosome,protein binding,rna binding,mitochondrion,mitochondrial small ribosomal subunit,cytoplasm
ENSG00000176383,B3GNT4,protein glycosylation,o-glycan processing,keratan sulfate proteoglycan biosynthetic process,n-acetyl-beta-d-glucosaminide beta-(1,-galactosyltransferase activity,n-acetyllactosaminide beta-1,golgi apparatus,golgi membrane,endoplasmic reticulum
ENSG00000181722,ZBTB20,negative regulation of transcription by rna polymerase ii,positive regulation of tumor necrosis factor production,positive regulation of interferon-beta production,dna-binding transcription repressor activity,rna polymerase ii cis-regulatory region sequence-specific dna binding,sequence-specific double-stranded dna binding,nucleus,nucleoplasm,cytoplasm
ENSG00000139508,SLC46A3,copper ion transmembrane transport,transmembrane transport,vacuolar transmembrane transport,copper ion transmembrane transporter activity,symporter activity,proton-coupled transport,lysosomal membrane,lysosome,extracellular exosome
ENSG00000176428,VPS37D,ubiquitin-dependent protein catabolic process,multivesicular body assembly,protein transport,protein binding,ubiquitin binding,adaptor binding,endosome membrane,escrt i complex,extracellular exosome
ENSG00000102125,TAZ,lipid metabolic process,phospholipid biosynthetic process,cell proliferation,acyltransferase activity,protein kinase activity,transcription factor activity,mitochondrial outer membrane,nucleus,cytoplasm
ENSG00000127990,SGCE,cell adhesion,muscle development,cell differentiation,calcium ion binding,protein-protein interaction,receptor activity,cytoskeleton,sarcoglycan complex,plasma membrane
ENSG00000102302,FGD1,regulation of cell shape,filopodium assembly,regulation of small gtpase mediated signal transduction,guanyl-nucleotide exchange factor activity,small gtpase binding,metal ion binding,cytoplasm,lamellipodium,cytoskeleton
ENSG00000187118,CMC1,protein folding,mitochondrial respiratory chain complex biogenesis,cellular response to oxidative stress,metal ion binding,atp synthesis coupled proton transport,cytochrome c oxidase activity,mitochondrial inner membrane,mitochondrial ribosome,cristae
ENSG00000009335,UBE3C,protein k48-linked ubiquitination,protein polyubiquitination,ubiquitin-dependent protein catabolic process,ubiquitin protein ligase activity,protein binding,transferase activity,proteasome complex,nucleus,cytoplasm
ENSG00000234906,APOC2,positive regulation of fatty acid biosynthetic process,chylomicron remodeling,positive regulation of triglyceride catabolic process,lipoprotein lipase activator activity,phospholipase activator activity,enzyme activator activity,high-density lipoprotein particle,low-density lipoprotein particle,very-low-density lipoprotein particle
ENSG00000180447,GAS1,regulation of smoothened signaling pathway,negative regulation of mitotic cell cycle,cellular response to vascular endothelial growth factor stimulus,oxysterol binding,protein binding,receptor tyrosine kinase activity,plasma membrane,membrane,side of membrane
ENSG00000178403,NEUROG2,positive regulation of transcription by rna polymerase ii,cell differentiation,axon development,dna-binding transcription factor activity,rna polymerase ii-specific,e-box binding,nucleus,chromatin,nucleoplasm
ENSG00000117054,ACADM,fatty acid beta-oxidation,medium-chain fatty acid metabolic process,fatty acid metabolic process,medium-chain fatty acyl-coa dehydrogenase activity,acyl-coa dehydrogenase activity,oxidoreductase activity,mitochondrion,mitochondrial matrix,cytoplasm
ENSG00000137414,FAM8A1,erad pathway regulation,unfolded protein response,endoplasmic reticulum quality control,protein-protein binding,ubiquitin ligase complex assembly,chaperone binding,endoplasmic reticulum lumen,golgi apparatus,hrd1p ubiquitin ligase complex
ENSG00000140391,TSPAN3,cell adhesion,signal transduction,cell migration,protein binding,receptor binding,cell surface receptor activity,membrane microdomain,lipid raft,cytosol
ENSG00000163359,COL6A3,response to glucose,neuron apoptotic process,muscle organ development,serine-type endopeptidase inhibitor activity,extracellular matrix structural constituent conferring tensile strength,integrin binding,collagen-containing extracellular matrix,collagen type vi trimer,endoplasmic reticulum lumen
ENSG00000005381,MPO,response to bacterium,defense response to fungus,negative regulation of apoptotic process,peroxidase activity,heme binding,metal ion binding,azurophil granule lumen,azurophil granule,phagocytic vesicle lumen
ENSG00000109065,NAT9,cell cycle regulation,protein metabolic process,cellular proliferation,tubulin n-terminal-methionine acetyltransferase activity,n-acetyltransferase activity,protein binding,cytoplasm,microtubule organizing center,protein complex
ENSG00000152580,IGSF10,regulation of neuron migration,cell differentiation,cell adhesion,cell adhesion molecule activity,receptor binding,protein tyrosine kinase activity,extracellular matrix,cell membrane,collagen-containing extracellular matrix
ENSG00000006071,ABCC8,positive regulation of tumor necrosis factor production,negative regulation of glial cell proliferation,potassium ion import across plasma membrane,atp-activated inward rectifier potassium channel activity,abc-type transporter activity,atp binding,plasma membrane,synaptic vesicle membrane,inward rectifying potassium channel
ENSG00000275111,ZNF2,regulation of transcription by rna polymerase ii,regulation of gene expression,transcriptional regulation,dna-binding transcription factor activity,rna polymerase ii cis-regulatory region sequence-specific dna binding,zinc ion binding,nucleus,nuclear speckles,nucleoplasm
ENSG00000016602,CLCA4,chloride transmembrane transport,proteolysis,monoatomic ion transmembrane transport,intracellularly calcium-gated chloride channel activity,chloride channel activity,metalloendopeptidase activity,plasma membrane,apical plasma membrane,extracellular region
ENSG00000151834,GABRA2,inhibitory synapse assembly,gabaergic synaptic transmission,gamma-aminobutyric acid signaling pathway,gaba-gated chloride ion channel activity,transmitter-gated monoatomic ion channel activity,ligand-gated monoatomic ion channel activity involved in regulation of postsynaptic membrane potential,postsynaptic specialization membrane,dendrite membrane,synaptic vesicle membrane
ENSG00000254004,ZNF260,regulation of transcription by rna polymerase ii,dna-templated transcription,gene expression regulation,rna polymerase ii cis-regulatory region sequence-specific dna binding,dna-binding transcription factor activity,rna polymerase ii-specific,nucleus,nucleoplasm,nuclear speckles
ENSG00000275385,CCL18,chemokine-mediated signaling pathway,inflammatory response,positive regulation of cell migration,chemokine activity,ccr chemokine receptor binding,cytokine activity,extracellular region,extracellular space,cell membrane
ENSG00000171130,ATP6V0E2,regulation of macroautophagy,vacuolar acidification,proton transmembrane transport,proton-transporting atpase activity,atpase-coupled ion transmembrane transporter activity,rotational mechanism,lysosomal membrane,endosome membrane,phagocytic vesicle membrane
ENSG00000145214,DGKQ,regulation of transcription by rna polymerase ii,positive regulation of peptidyl-tyrosine phosphorylation,phosphatidic acid biosynthetic process,atp-dependent diacylglycerol kinase activity,transmembrane receptor protein tyrosine kinase activator activity,metal ion binding,nucleus,endosome,cytoskeleton
ENSG00000140937,CDH11,negative regulation of cell migration,adherens junction organization,cell-cell junction assembly,cadherin binding,beta-catenin binding,calcium ion binding,adherens junction,extracellular exosome,glutamatergic synapse
ENSG00000140284,SLC27A2,fatty acid beta-oxidation,very long-chain fatty acid metabolic process,methyl-branched fatty acid metabolic process,long-chain fatty acid-coa ligase activity,arachidonate-coa ligase activity,oleate transmembrane transporter activity,peroxisomal membrane,endoplasmic reticulum lumen,extracellular exosome
ENSG00000102195,GPR50,signal transduction,cell-cell communication,g protein-coupled receptor signaling pathway,g protein-coupled receptor activity,melatonin receptor activity,signal transducer activity,plasma membrane,postsynaptic density,nucleus
ENSG00000183856,IQGAP3,positive regulation of mapk cascade,positive regulation of gene expression,positive regulation of mammary gland epithelial cell proliferation,gtpase activator activity,actin filament binding,small gtpase binding,cell cortex,cytosol,cell-cell junction
,TMEM246,cell proliferation regulation,cell cycle checkpoint control,dna repair,receptor tyrosine kinase activity,transmembrane transporter activity,protein binding,plasma membrane,endoplasmic reticulum,nucleus
ENSG00000203747,FCGR3A,positive regulation of tumor necrosis factor production,antibody-dependent cellular cytotoxicity,natural killer cell mediated cytotoxicity,igg receptor activity,low-affinity igg receptor activity,immune receptor activity,plasma membrane,fc-gamma receptor iii complex,extracellular region
ENSG00000188266,HYKK,regulation of lysosomal biogenesis,cellular response to stress,metabolic regulation,amino acid kinase activity,protein serine/threonine kinase activity,hydroxylysine kinase activity,mitochondrial matrix,membrane-bound organelle,cytosol
ENSG00000165609,NUDT5,nucleotide metabolic process,nucleoside phosphate metabolic process,ribose phosphate metabolic process,adp-ribose diphosphatase activity,-oxo-dgdp phosphatase activity,nucleoside diphosphate phosphatase activity,nucleus,cytosol,extracellular exosome
ENSG00000059377,TBXAS1,prostaglandin biosynthetic process,positive regulation of vasoconstriction,cyclooxygenase pathway,thromboxane-a synthase activity,-hydroxyheptadecatrienoic acid synthase activity,monooxygenase activity,endoplasmic reticulum membrane,cytosol,membrane
ENSG00000119013,NDUFB3,electron transport chain,mitochondrial atp synthesis coupled proton transport,aerobic respiration,nadh dehydrogenase (ubiquinone) activity,ubiquinone binding,oxidoreductase activity,mitochondrion,mitochondrial inner membrane,respiratory chain complex i
